Date,TIMESLOT,DELHI,BRPL,BYPL,NDPL,NDMC,MES
01-01-2022,00:00:00,2144.41,860.87,428.55,691.4,117.82,25.93
01-01-2022,02:00:00,1682.7,669.86,316.2,573.91,84.25,22.44
01-01-2022,04:00:00,1584.39,644.04,289.28,542.23,71.18,22.41
01-01-2022,06:00:00,2200.73,915.56,424.79,715.59,90.34,30.11
01-01-2022,08:00:00,3754.84,1570.12,819.5,1188.76,102.39,41.24
01-01-2022,10:00:00,4471.55,1916.57,971.64,1341.66,157.13,42.16
01-01-2022,12:00:00,4145.91,1763.55,956.3,1260.21,102.24,35.59
01-01-2022,14:00:00,3330.46,1402.43,767.15,1004.3,95.77,28.78
01-01-2022,16:00:00,2979.3,1245.34,668.74,887.26,123.99,27.22
01-01-2022,18:00:00,3263.12,1404.68,751.4,945.25,101.21,36.4
01-01-2022,20:00:00,3086.4,1366.86,652.25,898.06,101.47,38.92
01-01-2022,22:00:00,2728.65,1215.48,581.52,775.18,93.2,33.68
01-01-2022,23:00:00,2333.91,1013.87,500.61,684.85,85.28,28.81
02-01-2022,00:00:00,1907.22,824.9,399.36,569.52,73.38,24.73
02-01-2022,02:00:00,1498.48,631.31,298.05,459.55,74.75,20.8
03-01-2022,00:00:00,1900.62,769.22,386.95,608.97,92.98,24.47
03-01-2022,02:00:00,1525.86,598.76,295.1,510.07,85.35,22.07
03-01-2022,04:00:00,1475.11,593.73,275.56,484.4,84.69,22.57
03-01-2022,06:00:00,2113.19,872.66,423.8,670.23,95.21,33.31
03-01-2022,08:00:00,3852.25,1615.85,835.31,1196.17,122.73,49.04
03-01-2022,10:00:00,4465.11,1850.99,943.22,1427.8,154.08,45.27
03-01-2022,12:00:00,4127.76,1614.43,884.6,1400.51,152.49,39.38
03-01-2022,14:00:00,3451.04,1331.3,743.08,1162.09,145.1,32.77
03-01-2022,16:00:00,3217.99,1254.96,649.43,1113.28,141.34,32.5
03-01-2022,18:00:00,3644.01,1473.95,769.15,1219.2,138.73,29.03
03-01-2022,20:00:00,3321.35,1395.77,657.19,1072.37,123.35,41.05
03-01-2022,22:00:00,2844.31,1198.18,591.41,879.82,109.6,35.27
03-01-2022,23:00:00,2412.96,996.02,500.49,765.57,99.66,28.73
04-01-2022,00:00:00,1966.5,789.48,396.53,650.84,88.23,24.55
04-01-2022,02:00:00,1589.56,622.01,301.09,548.78,80.61,21.95
04-01-2022,04:00:00,1538.32,613.36,281.69,527.78,80.94,22.38
04-01-2022,06:00:00,2167.33,888.59,425.53,712.72,87.14,33.11
04-01-2022,08:00:00,3844.51,1584.45,833.65,1227.96,120.48,47.45
04-01-2022,10:00:00,4447.13,1836.03,897.81,1469.0,159.63,43.79
04-01-2022,12:00:00,4028.74,1591.75,839.91,1367.71,154.79,36.46
04-01-2022,14:00:00,3482.7,1404.06,695.77,1178.26,137.64,33.4
04-01-2022,16:00:00,3154.72,1228.72,616.61,1117.3,132.27,31.27
04-01-2022,18:00:00,3576.39,1455.78,729.25,1193.6,127.45,36.36
06-01-2022,00:00:00,1980.35,811.98,396.47,648.23,79.28,24.67
06-01-2022,02:00:00,1597.57,637.2,299.4,548.27,74.63,21.87
06-01-2022,04:00:00,1528.68,629.01,275.42,516.13,71.33,22.29
06-01-2022,06:00:00,1979.31,805.44,422.63,631.63,76.43,25.49
06-01-2022,08:00:00,3243.71,1325.19,840.28,908.37,109.1,30.06
06-01-2022,10:00:00,4268.92,1742.54,1050.87,1273.6,141.51,29.6
06-01-2022,12:00:00,4137.03,1548.26,935.24,1451.67,134.81,27.76
06-01-2022,14:00:00,3524.68,1387.78,721.98,1171.31,168.09,33.72
06-01-2022,16:00:00,3288.8,1254.16,685.45,1131.14,159.3,33.76
07-01-2022,00:00:00,2021.05,818.07,400.72,658.17,101.4,23.46
07-01-2022,02:00:00,1646.51,670.67,314.79,541.49,87.73,21.41
07-01-2022,04:00:00,1605.37,667.2,293.68,521.17,86.65,21.86
