temperature,humidity,wind_speed,precipitation,dateTime,DELHI,BRPL,BYPL,NDPL,NDMC,MES
12.4285,33.5,6.2489877,0.0,2022-01-01 00:00:00,2144.41,860.87,428.55,691.4,117.82,25.93
13.7785,32.0,5.895715,0.0,2022-01-01 02:00:00,1682.7,669.86,316.2,573.91,84.25,22.44
16.703499,30.0,5.403824,0.0,2022-01-01 04:00:00,1584.39,644.04,289.28,542.23,71.18,22.41
18.8035,28.5,6.2186565,0.0,2022-01-01 06:00:00,2200.73,915.56,424.79,715.59,90.34,30.11
19.7785,26.5,6.3698797,0.0,2022-01-01 08:00:00,3754.84,1570.12,819.5,1188.76,102.39,41.24
19.1035,28.0,7.965398,0.0,2022-01-01 10:00:00,4471.55,1916.57,971.64,1341.66,157.13,42.16
17.6535,32.0,7.4108424,0.0,2022-01-01 12:00:00,4145.91,1763.55,956.3,1260.21,102.24,35.59
16.6035,35.5,6.98658,0.0,2022-01-01 14:00:00,3330.46,1402.43,767.15,1004.3,95.77,28.78
15.7285,38.0,9.928003,0.0,2022-01-01 16:00:00,2979.3,1245.34,668.74,887.26,123.99,27.22
14.8035,40.5,7.507662,0.0,2022-01-01 18:00:00,3263.12,1404.68,751.4,945.25,101.21,36.4
14.0535,42.5,8.611946,0.0,2022-01-01 20:00:00,3086.4,1366.86,652.25,898.06,101.47,38.92
13.5035,43.0,9.479967,0.0,2022-01-01 22:00:00,2728.65,1215.48,581.52,775.18,93.2,33.68
13.1535,43.0,6.8441916,0.0,2022-01-02 00:00:00,1907.22,824.9,399.36,569.52,73.38,24.73
14.4285,38.0,6.15169,0.0,2022-01-02 02:00:00,1498.48,631.31,298.05,459.55,74.75,20.8
13.4285,26.5,10.852995,0.0,2022-01-03 00:00:00,1900.62,769.22,386.95,608.97,92.98,24.47
14.9285,22.0,8.416845,0.0,2022-01-03 02:00:00,1525.86,598.76,295.1,510.07,85.35,22.07
18.003498,17.0,7.103846,0.0,2022-01-03 04:00:00,1475.11,593.73,275.56,484.4,84.69,22.57
20.4785,15.5,10.050154,0.0,2022-01-03 06:00:00,2113.19,872.66,423.8,670.23,95.21,33.31
21.6035,18.5,10.40856,0.0,2022-01-03 08:00:00,3852.25,1615.85,835.31,1196.17,122.73,49.04
20.828499,22.5,12.197014,0.0,2022-01-03 10:00:00,4465.11,1850.99,943.22,1427.8,154.08,45.27
19.1035,27.5,11.374584,0.0,2022-01-03 12:00:00,4127.76,1614.43,884.6,1400.51,152.49,39.38
18.1035,30.0,9.705267,0.0,2022-01-03 14:00:00,3451.04,1331.3,743.08,1162.09,145.1,32.77
17.1785,31.5,8.276898,0.0,2022-01-03 16:00:00,3217.99,1254.96,649.43,1113.28,141.34,32.5
16.4785,32.5,7.467005,0.0,2022-01-03 18:00:00,3644.01,1473.95,769.15,1219.2,138.73,29.03
15.8535,33.5,6.6250296,0.0,2022-01-03 20:00:00,3321.35,1395.77,657.19,1072.37,123.35,41.05
15.2535,34.5,6.8200974,0.0,2022-01-03 22:00:00,2844.31,1198.18,591.41,879.82,109.6,35.27
14.828501,36.0,5.6846275,0.0,2022-01-04 00:00:00,1966.5,789.48,396.53,650.84,88.23,24.55
16.3535,32.5,3.5704727,0.0,2022-01-04 02:00:00,1589.56,622.01,301.09,548.78,80.61,21.95
19.6535,26.0,3.904947,0.0,2022-01-04 04:00:00,1538.32,613.36,281.69,527.78,80.94,22.38
21.9785,23.0,5.065445,0.0,2022-01-04 06:00:00,2167.33,888.59,425.53,712.72,87.14,33.11
22.378498,23.5,6.1161757,0.0,2022-01-04 08:00:00,3844.51,1584.45,833.65,1227.96,120.48,47.45
21.6035,27.0,10.892068,0.0,2022-01-04 10:00:00,4447.13,1836.03,897.81,1469.0,159.63,43.79
19.9035,36.0,13.033869,0.0,2022-01-04 12:00:00,4028.74,1591.75,839.91,1367.71,154.79,36.46
19.3535,38.0,5.6819973,0.0,2022-01-04 14:00:00,3482.7,1404.06,695.77,1178.26,137.64,33.4
18.953499,38.0,6.8385353,0.0,2022-01-04 16:00:00,3154.72,1228.72,616.61,1117.3,132.27,31.27
18.453499,38.5,5.3617573,0.0,2022-01-04 18:00:00,3576.39,1455.78,729.25,1193.6,127.45,36.36
13.828501,86.0,19.784176,0.0,2022-01-06 00:00:00,1980.35,811.98,396.47,648.23,79.28,24.67
14.8035,80.5,24.828274,0.0,2022-01-06 02:00:00,1597.57,637.2,299.4,548.27,74.63,21.87
17.4285,65.0,26.929876,0.0,2022-01-06 04:00:00,1528.68,629.01,275.42,516.13,71.33,22.29
19.203499,56.5,22.420603,0.0,2022-01-06 06:00:00,1979.31,805.44,422.63,631.63,76.43,25.49
18.853498,59.5,17.454323,0.0,2022-01-06 08:00:00,3243.71,1325.19,840.28,908.37,109.1,30.06
18.4035,61.5,13.604538,0.05,2022-01-06 10:00:00,4268.92,1742.54,1050.87,1273.6,141.51,29.6
17.8535,64.5,10.933331,0.05,2022-01-06 12:00:00,4137.03,1548.26,935.24,1451.67,134.81,27.76
17.2785,68.0,13.209724,0.05,2022-01-06 14:00:00,3524.68,1387.78,721.98,1171.31,168.09,33.72
16.1535,73.0,17.634283,0.0,2022-01-06 16:00:00,3288.8,1254.16,685.45,1131.14,159.3,33.76
14.8785,88.0,24.13786,0.1,2022-01-07 00:00:00,2021.05,818.07,400.72,658.17,101.4,23.46
15.5285,88.5,27.493523,0.05,2022-01-07 02:00:00,1646.51,670.67,314.79,541.49,87.73,21.41
18.503498,73.0,27.669102,0.0,2022-01-07 04:00:00,1605.37,667.2,293.68,521.17,86.65,21.86
21.6535,53.0,29.225174,0.0,2022-01-07 06:00:00,2189.74,947.04,423.46,669.37,94.69,31.95
22.1785,52.5,27.806862,0.0,2022-01-07 08:00:00,3783.92,1599.93,835.32,1126.65,144.03,45.63
20.7285,60.5,25.065472,0.0,2022-01-07 10:00:00,4552.64,1897.82,963.71,1401.52,204.24,44.29
18.9285,70.5,21.949295,0.0,2022-01-07 12:00:00,4396.26,1753.6,955.32,1408.16,199.87,41.11
17.9035,77.0,23.665836,0.3,2022-01-07 14:00:00,3669.86,1457.22,775.82,1179.2,188.16,37.09
16.753498,84.5,31.58509,0.5,2022-01-07 16:00:00,3354.71,1315.59,693.16,1102.29,176.13,33.08
16.203499,87.5,25.884277,0.0,2022-01-07 18:00:00,3603.08,1456.5,736.81,1171.57,169.75,37.94
16.0035,88.5,31.750835,0.45,2022-01-07 20:00:00,3299.82,1360.02,669.54,1048.53,148.59,38.03
15.6285,91.0,32.17072,1.55,2022-01-07 22:00:00,2755.43,1165.59,569.55,828.77,132.97,32.38
15.7535,92.5,27.650133,0.9,2022-01-08 00:00:00,1947.33,785.98,383.73,628.51,107.57,23.07
16.0035,92.0,30.809582,0.2,2022-01-08 02:00:00,1553.67,604.04,292.34,527.43,95.53,19.96
16.2785,90.5,32.880173,0.05,2022-01-08 04:00:00,1318.11,480.36,248.88,474.0,82.69,19.61
17.5285,85.5,31.43268,0.1,2022-01-08 06:00:00,1777.09,730.15,351.06,567.31,94.67,24.64
16.3035,91.0,35.25834,0.45,2022-01-08 08:00:00,2760.93,1087.84,616.94,878.07,116.24,36.28
15.6785,92.0,32.935364,0.3,2022-01-08 10:00:00,3345.12,1388.16,731.34,1014.63,140.29,38.47
15.703501,92.0,24.321156,1.2,2022-01-08 12:00:00,3258.77,1432.29,710.3,903.55,143.4,38.2
15.453501,92.0,25.90647,1.1,2022-01-08 14:00:00,2872.23,1284.22,613.93,778.23,135.19,34.29
14.9535,93.0,24.988201,0.9,2022-01-08 16:00:00,2464.95,1066.41,514.07,713.03,125.23,29.46
14.5035,95.0,20.544281,0.65,2022-01-08 18:00:00,2763.21,1174.72,607.91,780.73,139.5,36.64
14.2035,95.5,14.870432,1.25,2022-01-08 20:00:00,2736.44,1160.81,595.94,779.7,137.43,37.73
14.3035,91.5,12.023584,0.8,2022-01-08 22:00:00,2395.08,1013.6,521.8,671.94,132.18,32.13
14.3285,94.0,13.312897,0.65,2022-01-09 00:00:00,1694.18,715.64,353.43,473.75,111.14,22.8
