datetime,weekday,DELHI,BRPL,BYPL,NDMC,MES,temperature,humidity,wind_speed,precipitation
01-01-2022 00:00,Saturday,2144.41,860.87,428.55,117.82,25.93,12.4285,33.5,6.2489877,0
01-01-2022 02:00,Saturday,1682.7,669.86,316.2,84.25,22.44,13.7785,32,5.895715,0
01-01-2022 04:00,Saturday,1584.39,644.04,289.28,71.18,22.41,16.703499,30,5.403824,0
01-01-2022 06:00,Saturday,2200.73,915.56,424.79,90.34,30.11,18.8035,28.5,6.2186565,0
01-01-2022 08:00,Saturday,3754.84,1570.12,819.5,102.39,41.24,19.7785,26.5,6.3698797,0
01-01-2022 10:00,Saturday,4471.55,1916.57,971.64,157.13,42.16,19.1035,28,7.965398,0
01-01-2022 12:00,Saturday,4145.91,1763.55,956.3,102.24,35.59,17.6535,32,7.4108424,0
01-01-2022 14:00,Saturday,3330.46,1402.43,767.15,95.77,28.78,16.6035,35.5,6.98658,0
01-01-2022 16:00,Saturday,2979.3,1245.34,668.74,123.99,27.22,15.7285,38,9.928003,0
01-01-2022 18:00,Saturday,3263.12,1404.68,751.4,101.21,36.4,14.8035,40.5,7.507662,0
01-01-2022 20:00,Saturday,3086.4,1366.86,652.25,101.47,38.92,14.0535,42.5,8.611946,0
01-01-2022 22:00,Saturday,2728.65,1215.48,581.52,93.2,33.68,13.5035,43,9.479967,0
02-01-2022 00:00,Sunday,1907.22,824.9,399.36,73.38,24.73,13.1535,43,6.8441916,0
02-01-2022 02:00,Sunday,1498.48,631.31,298.05,74.75,20.8,14.4285,38,6.15169,0
02-01-2022 04:00,Sunday,,,,,,17.4035,29,7.3170776,0
02-01-2022 06:00,Sunday,,,,,,19.453499,22.5,8.075552,0
02-01-2022 08:00,Sunday,,,,,,20.5285,19.5,7.3330584,0
02-01-2022 10:00,Sunday,,,,,,19.7285,21,7.3583183,0
02-01-2022 12:00,Sunday,,,,,,18.078499,25.5,13.189461,0
02-01-2022 14:00,Sunday,,,,,,16.978498,29.5,14.285318,0
02-01-2022 16:00,Sunday,,,,,,15.9285,31,7.57529,0
02-01-2022 18:00,Sunday,,,,,,15.1285,31,8.85265,0
02-01-2022 20:00,Sunday,,,,,,14.4285,30,10.92835,0
02-01-2022 22:00,Sunday,,,,,,13.8785,28.5,9.7579775,0
03-01-2022 00:00,Monday,1900.62,769.22,386.95,92.98,24.47,13.4285,26.5,10.852995,0
03-01-2022 02:00,Monday,1525.86,598.76,295.1,85.35,22.07,14.9285,22,8.416845,0
03-01-2022 04:00,Monday,1475.11,593.73,275.56,84.69,22.57,18.003498,17,7.103846,0
03-01-2022 06:00,Monday,2113.19,872.66,423.8,95.21,33.31,20.4785,15.5,10.050154,0
03-01-2022 08:00,Monday,3852.25,1615.85,835.31,122.73,49.04,21.6035,18.5,10.40856,0
03-01-2022 10:00,Monday,4465.11,1850.99,943.22,154.08,45.27,20.828499,22.5,12.197014,0
03-01-2022 12:00,Monday,4127.76,1614.43,884.6,152.49,39.38,19.1035,27.5,11.374584,0
03-01-2022 14:00,Monday,3451.04,1331.3,743.08,145.1,32.77,18.1035,30,9.705267,0
03-01-2022 16:00,Monday,3217.99,1254.96,649.43,141.34,32.5,17.1785,31.5,8.276898,0
03-01-2022 18:00,Monday,3644.01,1473.95,769.15,138.73,29.03,16.4785,32.5,7.467005,0
03-01-2022 20:00,Monday,3321.35,1395.77,657.19,123.35,41.05,15.8535,33.5,6.6250296,0
03-01-2022 22:00,Monday,2844.31,1198.18,591.41,109.6,35.27,15.2535,34.5,6.8200974,0
04-01-2022 00:00,Tuesday,1966.5,789.48,396.53,88.23,24.55,14.828501,36,5.6846275,0
04-01-2022 02:00,Tuesday,1589.56,622.01,301.09,80.61,21.95,16.3535,32.5,3.5704727,0
04-01-2022 04:00,Tuesday,1538.32,613.36,281.69,80.94,22.38,19.6535,26,3.904947,0
04-01-2022 06:00,Tuesday,2167.33,888.59,425.53,87.14,33.11,21.9785,23,5.065445,0
04-01-2022 08:00,Tuesday,3844.51,1584.45,833.65,120.48,47.45,22.378498,23.5,6.1161757,0
04-01-2022 10:00,Tuesday,4447.13,1836.03,897.81,159.63,43.79,21.6035,27,10.892068,0
04-01-2022 12:00,Tuesday,4028.74,1591.75,839.91,154.79,36.46,19.9035,36,13.033869,0
04-01-2022 14:00,Tuesday,3482.7,1404.06,695.77,137.64,33.4,19.3535,38,5.6819973,0
04-01-2022 16:00,Tuesday,3154.72,1228.72,616.61,132.27,31.27,18.953499,38,6.8385353,0
04-01-2022 18:00,Tuesday,3576.39,1455.78,729.25,127.45,36.36,18.453499,38.5,5.3617573,0
04-01-2022 20:00,Tuesday,,,,,,18.0285,39,6.918134,0
04-01-2022 22:00,Tuesday,,,,,,17.7285,39,4.7719107,0
05-01-2022 00:00,Wednesday,,,,,,17.503498,40,7.824168,0
05-01-2022 02:00,Wednesday,,,,,,18.1285,38.5,13.7738285,0
05-01-2022 04:00,Wednesday,,,,,,17.628498,48.5,8.2127905,0
05-01-2022 06:00,Wednesday,,,,,,16.0785,63,18.256773,0.2
05-01-2022 08:00,Wednesday,,,,,,15.978499,61.5,23.274416,0.05
05-01-2022 10:00,Wednesday,,,,,,15.2285,64,27.661736,0.2
05-01-2022 12:00,Wednesday,,,,,,15.1035,61.5,23.76294,0
05-01-2022 14:00,Wednesday,,,,,,14.2535,70,25.247423,0.90000004
05-01-2022 16:00,Wednesday,,,,,,13.1035,83.5,27.689156,0.8
05-01-2022 18:00,Wednesday,,,,,,12.9785,88.5,22.812513,0
05-01-2022 20:00,Wednesday,,,,,,13.5035,86,19.284771,0
05-01-2022 22:00,Wednesday,,,,,,13.7785,84.5,19.420341,0
06-01-2022 00:00,Thursday,1980.35,811.98,396.47,79.28,24.67,13.828501,86,19.784176,0
06-01-2022 02:00,Thursday,1597.57,637.2,299.4,74.63,21.87,14.8035,80.5,24.828274,0
06-01-2022 04:00,Thursday,1528.68,629.01,275.42,71.33,22.29,17.4285,65,26.929876,0
06-01-2022 06:00,Thursday,1979.31,805.44,422.63,76.43,25.49,19.203499,56.5,22.420603,0
06-01-2022 08:00,Thursday,3243.71,1325.19,840.28,109.1,30.06,18.853498,59.5,17.454323,0
06-01-2022 10:00,Thursday,4268.92,1742.54,1050.87,141.51,29.6,18.4035,61.5,13.604538,0.05
06-01-2022 12:00,Thursday,4137.03,1548.26,935.24,134.81,27.76,17.8535,64.5,10.933331,0.05
06-01-2022 14:00,Thursday,3524.68,1387.78,721.98,168.09,33.72,17.2785,68,13.209724,0.05
06-01-2022 16:00,Thursday,3288.8,1254.16,685.45,159.3,33.76,16.1535,73,17.634283,0
06-01-2022 18:00,Thursday,,,,,,15.403501,75.5,21.50208,0
06-01-2022 20:00,Thursday,,,,,,15.0285,78.5,25.948612,0
06-01-2022 22:00,Thursday,,,,,,14.953501,82,25.015202,0.05
07-01-2022 00:00,Friday,2021.05,818.07,400.72,101.4,23.46,14.8785,88,24.13786,0.1
07-01-2022 02:00,Friday,1646.51,670.67,314.79,87.73,21.41,15.5285,88.5,27.493523,0.05
07-01-2022 04:00,Friday,1605.37,667.2,293.68,86.65,21.86,18.503498,73,27.669102,0
07-01-2022 06:00,Friday,2189.74,947.04,423.46,94.69,31.95,21.6535,53,29.225174,0
07-01-2022 08:00,Friday,3783.92,1599.93,835.32,144.03,45.63,22.1785,52.5,27.806862,0
07-01-2022 10:00,Friday,4552.64,1897.82,963.71,204.24,44.29,20.7285,60.5,25.065472,0
07-01-2022 12:00,Friday,4396.26,1753.6,955.32,199.87,41.11,18.9285,70.5,21.949295,0
07-01-2022 14:00,Friday,3669.86,1457.22,775.82,188.16,37.09,17.9035,77,23.665836,0.3
07-01-2022 16:00,Friday,3354.71,1315.59,693.16,176.13,33.08,16.753498,84.5,31.58509,0.5
07-01-2022 18:00,Friday,3603.08,1456.5,736.81,169.75,37.94,16.203499,87.5,25.884277,0
07-01-2022 20:00,Friday,3299.82,1360.02,669.54,148.59,38.03,16.0035,88.5,31.750835,0.45
07-01-2022 22:00,Friday,2755.43,1165.59,569.55,132.97,32.38,15.6285,91,32.17072,1.55
08-01-2022 00:00,Saturday,1947.33,785.98,383.73,107.57,23.07,15.7535,92.5,27.650133,0.9
08-01-2022 02:00,Saturday,1553.67,604.04,292.34,95.53,19.96,16.0035,92,30.809582,0.2
08-01-2022 04:00,Saturday,1318.11,480.36,248.88,82.69,19.61,16.2785,90.5,32.880173,0.05
08-01-2022 06:00,Saturday,1777.09,730.15,351.06,94.67,24.64,17.5285,85.5,31.43268,0.1
08-01-2022 08:00,Saturday,2760.93,1087.84,616.94,116.24,36.28,16.3035,91,35.25834,0.45
08-01-2022 10:00,Saturday,3345.12,1388.16,731.34,140.29,38.47,15.6785,92,32.935364,0.3
08-01-2022 12:00,Saturday,3258.77,1432.29,710.3,143.4,38.2,15.703501,92,24.321156,1.2
08-01-2022 14:00,Saturday,2872.23,1284.22,613.93,135.19,34.29,15.453501,92,25.90647,1.1
08-01-2022 16:00,Saturday,2464.95,1066.41,514.07,125.23,29.46,14.9535,93,24.988201,0.9
08-01-2022 18:00,Saturday,2763.21,1174.72,607.91,139.5,36.64,14.5035,95,20.544281,0.65
08-01-2022 20:00,Saturday,2736.44,1160.81,595.94,137.43,37.73,14.2035,95.5,14.870432,1.25
08-01-2022 22:00,Saturday,2395.08,1013.6,521.8,132.18,32.13,14.3035,91.5,12.023584,0.8
09-01-2022 00:00,Sunday,1694.18,715.64,353.43,111.14,22.8,14.3285,94,13.312897,0.65
09-01-2022 02:00,Sunday,1387.4,588.98,272.06,100.3,20.29,14.578501,93,11.218298,0.4
09-01-2022 04:00,Sunday,1327.68,562.66,249.59,98.13,20.33,15.3785,89,9.302604,0.2
09-01-2022 06:00,Sunday,1699.65,715.22,352.28,102.88,25.73,15.9035,85,7.3074007,0.2
09-01-2022 08:00,Sunday,2740.11,1106.96,621.25,123.02,34.36,17.4785,73,9.783386,0
09-01-2022 10:00,Sunday,3570.08,1461.83,780.15,141.17,39.42,16.6035,73.5,9.101244,0
09-01-2022 12:00,Sunday,3704.89,1520.95,813.77,148.38,37.98,15.1785,77.5,13.335112,0
09-01-2022 14:00,Sunday,3148.3,1421.47,636.48,144.87,34.48,14.6035,75.5,19.294739,0
09-01-2022 16:00,Sunday,2552.1,1113.72,515.71,133.2,30.84,13.6035,73,16.213413,0
09-01-2022 18:00,Sunday,2859.21,1233.73,599.53,147,38.3,12.8035,69.5,12.266098,0
09-01-2022 20:00,Sunday,2821.68,1228.9,584.09,147.22,38.95,12.2035,69.5,10.13962,0
09-01-2022 22:00,Sunday,2532.31,1114.24,521.51,137.15,33.77,11.6785,71.5,11.823309,0
10-01-2022 00:00,Monday,1743.14,731.6,348.55,114.82,23.49,11.328501,72.5,8.784925,0
10-01-2022 02:00,Monday,1401.76,576.35,267.43,107.08,21.09,12.7535,67.5,6.627912,0
10-01-2022 04:00,Monday,1371.68,572.06,256.1,101.79,21.9,15.678499,55.5,6.0658116,0
10-01-2022 06:00,Monday,1988.32,856.41,392.35,109.73,31.52,17.878498,45.5,5.3809347,0
10-01-2022 08:00,Monday,3714,1547.22,801.88,166.37,46.83,18.753498,38,6.1435356,0
10-01-2022 10:00,Monday,4576.92,1879.64,946.68,219.92,45.88,17.878498,40.5,10.981705,0
10-01-2022 12:00,Monday,4327.81,1694.27,926.11,214.5,41.62,16.1035,53,13.203973,0
10-01-2022 14:00,Monday,3650.52,1434.9,780.72,202.71,35.9,14.9785,59.5,12.484844,0
10-01-2022 16:00,Monday,3348.94,1280.2,718.06,190.21,32.8,14.0785,62.5,11.963208,0
10-01-2022 18:00,Monday,3634.25,1450.81,751.92,187.15,39.29,13.2285,65.5,11.062273,0
10-01-2022 20:00,Monday,3436.21,1433.39,701.11,163.68,41.69,12.5035,69.5,11.327419,0
10-01-2022 22:00,Monday,,,,,,11.903501,72.5,12.424613,0
11-01-2022 00:00,Tuesday,,,,,,11.5285,74,11.172424,0
11-01-2022 02:00,Tuesday,,,,,,12.7285,64.5,12.324525,0
11-01-2022 04:00,Tuesday,,,,,,15.7535,47.5,8.495437,0
11-01-2022 06:00,Tuesday,,,,,,18.003498,38,8.067101,0
11-01-2022 08:00,Tuesday,,,,,,18.878498,36,9.282284,0
11-01-2022 10:00,Tuesday,,,,,,17.7785,40.5,15.194827,0
11-01-2022 12:00,Tuesday,,,,,,15.678499,45.5,17.33645,0
11-01-2022 14:00,Tuesday,,,,,,14.6535,48,12.295896,0
11-01-2022 16:00,Tuesday,,,,,,13.8535,52.5,10.77849,0
11-01-2022 18:00,Tuesday,,,,,,13.1035,58,12.182281,0
11-01-2022 20:00,Tuesday,,,,,,12.7535,61.5,13.2817955,0
11-01-2022 22:00,Tuesday,,,,,,12.6035,65,12.131779,0
12-01-2022 00:00,Wednesday,2039.88,831.03,404.05,120.64,25.33,11.703501,71,7.6911674,0
12-01-2022 02:00,Wednesday,1612.24,651.51,290.51,111,22.82,12.7285,66,6.6642504,0
12-01-2022 04:00,Wednesday,1554.92,647.38,270.35,109.23,23.23,15.7535,52.5,4.8727045,0
12-01-2022 06:00,Wednesday,2105.4,891.86,392.23,117.1,32.63,18.0285,43.5,4.0341077,0
12-01-2022 08:00,Wednesday,3851.32,1590.82,814.27,163.91,47.6,18.8785,39.5,3.4069633,0
12-01-2022 10:00,Wednesday,4601.24,1832.7,960.8,208.01,47.86,18.003498,41,6.478876,0
